src_player_id,ActivityMonth,Product,SubProduct,ActivePlayerDays,Bet_Amount,Win_Amount,Gross_Win,Net_Gross_Win
12748417,2/28/2021,eGaming,Non Table Games,8,0,0,0,0
20251368,5/31/2021,eGaming,Non Table Games,2,421,244,177,149
16658554,10/31/2020,eGaming,Non Table Games,1,105,55,50,42
14758073,5/31/2020,eGaming,Non Table Games,8,3280,2758,518,435
13460544,9/30/2019,eGaming,Non Table Games,3,473,426,45,38
17469753,4/30/2021,SportsBook,Livebook,2,91,66,25,21
15638393,4/30/2020,eGaming,Non Table Games,1,55,30,25,21
14973579,2/29/2020,SportsBook,Prematch,3,33,0,33,28
18173340,12/31/2020,eGaming,Non Table Games,1,141,91,50,42
15151456,5/31/2021,eGaming,Non Table Games,1,2,1,1,1
13361044,4/30/2020,eGaming,Non Table Games,11,6116,6748,-735,-618
14741170,1/31/2020,eGaming,Non Table Games,1,168,143,25,21
12442887,4/30/2019,SportsBook,Prematch,7,29,4,25,21
14759231,2/29/2020,SportsBook,Livebook,1,40,0,40,34
14735509,4/30/2020,eGaming,Non Table Games,1,51,31,19,16
17274543,4/30/2021,SportsBook,Prematch,11,277,0,277,233
13830224,11/30/2019,eGaming,Non Table Games,1,5,6,-1,-1
17241111,12/31/2020,SportsBook,Livebook,3,176,0,176,148
20167145,5/31/2021,SportsBook,Livebook,13,4044,3308,736,618
13474645,1/31/2020,eGaming,Non Table Games,3,155,168,-13,-11
16497402,1/31/2021,eGaming,Non Table Games,25,0,0,0,0
17989965,2/28/2021,eGaming,Non Table Games,28,0,0,0,0
16438916,11/30/2020,SportsBook,Prematch,1,12,4,8,7
18345763,12/31/2020,eGaming,Non Table Games,1,131,82,48,40
13059814,8/31/2019,SportsBook,Livebook,1,15,0,15,13
19548263,6/30/2021,eGaming,Non Table Games,6,1537,1109,427,359
17588873,3/31/2021,SportsBook,Prematch,31,887,852,20,17
13857236,3/31/2020,SportsBook,Livebook,7,248,283,-35,-29
13837143,5/31/2020,SportsBook,Livebook,1,52,0,52,44
13641567,11/30/2019,SportsBook,Prematch,1,10,0,10,8
13944352,5/31/2021,SportsBook,Prematch,2,10,0,9,8
17525806,2/28/2021,SportsBook,Prematch,2,1,0,1,1
13238009,7/31/2019,eGaming,Table Games,1,0,0,0,0
13395795,12/31/2019,SportsBook,Livebook,9,361,0,361,303
17903199,2/28/2021,eGaming,Non Table Games,2,141,82,59,50
15000268,2/29/2020,SportsBook,Livebook,1,610,75,535,449
13519093,12/31/2019,SportsBook,Prematch,1,20,0,20,17
13654806,1/31/2020,SportsBook,Prematch,2,17,0,26,22
12458188,5/31/2021,eGaming,Table Games,1,317,267,50,42
12405806,3/31/2020,eGaming,Non Table Games,2,17850,17499,109,92
12839676,5/31/2021,eGaming,Non Table Games,5,2260,2645,-385,-323
13109780,2/28/2021,SportsBook,Prematch,1,5,0,5,4
13350920,8/31/2019,SportsBook,Livebook,1,2,0,2,2
17851420,1/31/2021,SportsBook,Prematch,2,40,0,40,34
13311061,4/30/2021,SportsBook,Prematch,2,84,137,-53,-44
